contract_id;Business Name;Unit Code;Start;end;qty;tarif;thbl
TJC/2301/2417;D0101;TD/01/01;103;103;0;17000;2023-04
TJC/2301/2419;D0103;TD/01/03;4;4;0;17000;2023-04
TJC/2301/2420;D0105;TD/01/05;"1.000,00";"1.010,00";10;143000;2023-04
TJC/2301/2422;D0106;TD/01/06;372;372;0;17000;2023-04
TJC/2301/2424;D0107;TD/01/07;496;498;2;42200;2023-04
TJC/2301/2425;D0108;TD/01/08;494;500;6;92600;2023-04
TJC/2301/2427;D0109;TD/01/09;412;418;6;92600;2023-04
TJC/2301/2418;D0102;TD/01/02;"1.066,00";"1.077,00";11;155600;2023-04
TJC/2301/2407;C2324;TC/23/24;630;630;0;17000;2023-04
TJC/2301/2406;C2323;TC/23/23;4;4;0;17000;2023-04
TJC/2301/2405;C2322;TC/23/22;0;0;0;17000;2023-04
TJC/2301/2385;C2303;TC/23/03;59;59;0;17000;2023-04
TJC/2301/2386;C2305;TC/23/05;"1.209,00";"1.212,00";3;54800;2023-04
TJC/2301/2388;C2307;TC/23/07;922;923;1;29600;2023-04
TJC/2301/2389;C2308;TC/23/08;"2.577,00";"2.582,00";5;80000;2023-04
TJC/2301/2391;C2309;TC/23/09;9;9;0;17000;2023-04
TJC/2301/2392;C2310;TC/23/10;117;117;0;17000;2023-04
TJC/2301/2393;C2311;TC/23/11;"1.030,00";"1.033,00";3;54800;2023-04
TJC/2301/2395;C2312;TC/23/12;"1.052,00";"1.056,00";4;67400;2023-04
TJC/2301/2396;C2315;TC/23/15;95;95;0;17000;2023-04
TJC/2301/2398;C2316;TC/23/16;825;826;1;29600;2023-04
TJC/2301/2399;C2317;TC/23/17;"3.661,00";"3.667,00";6;92600;2023-04
TJC/2301/2400;C2318;TC/23/18;"1.238,00";"1.239,00";1;29600;2023-04
TJC/2301/2401;C2319;TC/23/19;179;179;0;17000;2023-04
TJC/2301/2402;C2320;TC/23/20;17;17;0;17000;2023-04
TJC/2301/2403;C2321;TC/23/21;50;50;0;17000;2023-04
TJC/2301/2336;C2121;TC/21/21;"1.191,00";"1.205,00";14;193400;2023-04
TJC/2301/2335;C2120;TC/21/20;471;471;0;17000;2023-04
TJC/2301/2334;C2119;TC/21/19;653;658;5;80000;2023-04
TJC/2301/2331;C2118;TC/21/18;932;937;5;80000;2023-04
TJC/2301/2265;C1926;TC/19/26;252;259;7;105200;2023-04
TJC/2301/2266;C1927;TC/19/27;199;201;2;42200;2023-04
TJC/2301/2267;C1928;TC/19/28;"1.296,00";"1.302,00";6;92600;2023-04
TJC/2301/2268;C1929;TC/19/29;491;492;1;29600;2023-04
TJC/2301/2270;C1930;TC/19/30;664;667;3;54800;2023-04
TJC/2301/2271;C1931;TC/19/31;214;221;7;105200;2023-04
TJC/2301/2264;C1925;TC/19/25;797;798;1;29600;2023-04
TJC/2301/2272;C1932;TC/19/32;53;53;0;17000;2023-04
TJC/2301/2277;C1934;TC/19/34;353;353;0;17000;2023-04
TJC/2301/2278;C2001;TC/20/01;113;113;0;17000;2023-04
TJC/2301/2279;C2002;TC/20/02;991;995;4;67400;2023-04
TJC/2301/2280;C2003;TC/20/03;689;691;2;42200;2023-04
TJC/2301/2281;C2005;TC/20/05;"1.072,00";"1.081,00";9;130400;2023-04
TJC/2301/2282;C2006;TC/20/06;988;997;9;130400;2023-04
TJC/2301/2275;C1933;TC/19/33;731;738;7;105200;2023-04
TJC/2301/2263;C1924;TC/19/24;396;397;1;29600;2023-04
TJC/2301/2261;C1923;TC/19/23;544;544;0;17000;2023-04
TJC/2301/2260;C1922;TC/19/22;560;560;0;17000;2023-04
TJC/2301/2238;C1902;TC/19/02;"1.132,00";"1.141,00";9;130400;2023-04
TJC/2301/2239;C1903;TC/19/03;133;133;0;17000;2023-04
TJC/2301/2241;C1905;TC/19/05;400;400;0;17000;2023-04
TJC/2301/2242;C1907;TC/19/07;331;335;4;67400;2023-04
TJC/2301/2243;C1908;TC/19/08;140;142;2;42200;2023-04
TJC/2301/2244;C1909;TC/19/09;106;106;0;17000;2023-04
TJC/2301/2246;C1910;TC/19/10;202;203;1;29600;2023-04
TJC/2301/2247;C1911;TC/19/11;113;114;1;29600;2023-04
TJC/2301/2248;C1912;TC/19/12;80;83;3;54800;2023-04
TJC/2301/2250;C1915;TC/19/15;233;234;1;29600;2023-04
TJC/2301/2252;C1916;TC/19/16;791;805;14;193400;2023-04
TJC/2301/2253;C1917;TC/19/17;382;386;4;67400;2023-04
TJC/2301/2255;C1918;TC/19/18;767;781;14;193400;2023-04
TJC/2301/2257;C1920;TC/19/20;29;29;0;17000;2023-04
TJC/2301/2259;C1921;TC/19/21;387;387;0;17000;2023-04
TJC/2301/2283;C2007;TC/20/07;"1.022,00";"1.024,00";2;42200;2023-04
TJC/2301/2236;C1834;TC/18/34;5;5;0;17000;2023-04
TJC/2301/2284;C2008;TC/20/08;19;19;0;17000;2023-04
TJC/2301/2286;C2010;TC/20/10;222;224;2;42200;2023-04
TJC/2301/2312;C2033;TC/20/33;214;214;0;17000;2023-04
TJC/2301/2314;C2034;TC/20/34;305;311;6;92600;2023-04
TJC/2301/2315;C2101;TC/21/01;954;959;5;80000;2023-04
TJC/2301/2316;C2103;TC/21/03;1;1;0;17000;2023-04
TJC/2301/2317;C2105;TC/21/05;28;28;0;17000;2023-04
TJC/2301/2319;C2107;TC/21/07;734;738;4;67400;2023-04
TJC/2301/2310;C2032;TC/20/32;176;177;1;29600;2023-04
TJC/2301/2320;C2108;TC/21/08;3;3;0;17000;2023-04
TJC/2301/2323;C2110;TC/21/10;"1.160,00";"1.161,00";1;29600;2023-04
TJC/2301/2325;C2111;TC/21/11;92;92;0;17000;2023-04
TJC/2301/2327;C2112;TC/21/12;697;701;4;67400;2023-04
TJC/2301/2328;C2115;TC/21/15;"1.191,00";"1.196,00";5;80000;2023-04
TJC/2301/2329;C2116;TC/21/16;820;828;8;117800;2023-04
TJC/2301/2330;C2117;TC/21/17;749;760;11;155600;2023-04
TJC/2301/2321;C2109;TC/21/09;216;216;0;17000;2023-04
TJC/2301/2309;C2031;TC/20/31;731;731;0;17000;2023-04
TJC/2301/2308;C2030;TC/20/30;369;369;0;17000;2023-04
TJC/2301/2306;C2029;TC/20/29;24;24;0;17000;2023-04
TJC/2301/2287;C2011;TC/20/11;820;820;0;17000;2023-04
TJC/2301/2288;C2012;TC/20/12;686;693;7;105200;2023-04
TJC/2301/2289;C2015;TC/20/15;115;115;0;17000;2023-04
TJC/2301/2290;C2016;TC/20/16;244;244;0;17000;2023-04
TJC/2301/2291;C2017;TC/20/17;"1.610,00";"1.611,00";1;29600;2023-04
TJC/2301/2292;C2018;TC/20/18;761;763;2;42200;2023-04
TJC/2301/2293;C2019;TC/20/19;383;393;10;143000;2023-04
TJC/2301/2294;C2020;TC/20/20;546;550;4;67400;2023-04
TJC/2301/2296;C2021;TC/20/21;402;405;3;54800;2023-04
TJC/2301/2297;C2022;TC/20/22;256;257;1;29600;2023-04
TJC/2301/2299;C2023;TC/20/23;490;493;3;54800;2023-04
TJC/2301/2300;C2024;TC/20/24;73;86;13;180800;2023-04
TJC/2301/2301;C2025;TC/20/25;219;219;0;17000;2023-04
TJC/2301/2303;C2026;TC/20/26;622;626;4;67400;2023-04
TJC/2301/2305;C2028;TC/20/28;657;660;3;54800;2023-04
TJC/2301/2285;C2009;TC/20/09;169;169;0;17000;2023-04
TJC/2301/2043;C1203;TC/12/03;721;721;0;17000;2023-04
TJC/2301/2042;C1202;TC/12/02;471;477;6;92600;2023-04
TJC/2301/2041;C1201;TC/12/01;63;64;1;29600;2023-04
TJC/2301/1775;C0515;TC/05/15;142;142;0;17000;2023-04
TJC/2301/1776;C0516;TC/05/16;394;398;4;67400;2023-04
TJC/2301/1777;C0517;TC/05/17;404;406;2;42200;2023-04
TJC/2301/1778;C0518;TC/05/18;86;86;0;17000;2023-04
TJC/2301/1780;C0519;TC/05/19;136;141;5;80000;2023-04
TJC/2301/1781;C0520;TC/05/20;36;36;0;17000;2023-04
TJC/2301/1774;C0512;TC/05/12;232;232;0;17000;2023-04
TJC/2301/1783;C0521;TC/05/21;401;405;4;67400;2023-04
TJC/2301/1786;C0523;TC/05/23;713;715;2;42200;2023-04
TJC/2301/1787;C0524;TC/05/24;362;370;8;117800;2023-04
TJC/2301/1788;C0525;TC/05/25;248;248;0;17000;2023-04
TJC/2301/1789;C0526;TC/05/26;72;72;0;17000;2023-04
TJC/2301/1790;C0527;TC/05/27;714;714;0;17000;2023-04
TJC/2301/1791;C0528;TC/05/28;827;831;4;67400;2023-04
TJC/2301/1784;C0522;TC/05/22;978;991;13;180800;2023-04
TJC/2301/1792;C0529;TC/05/29;0;0;0;17000;2023-04
TJC/2301/1773;C0511;TC/05/11;223;225;2;42200;2023-04
TJC/2301/1771;C0509;TC/05/09;179;182;3;54800;2023-04
TJC/2301/1754;C0328;TC/03/28;403;411;8;117800;2023-04
TJC/2301/1755;C0329;TC/03/29;794;802;8;117800;2023-04
TJC/2301/1756;C0330;TC/03/30;368;378;10;143000;2023-04
TJC/2301/1757;C0331;TC/03/31;174;177;3;54800;2023-04
TJC/2301/1758;C0332;TC/03/32;715;724;9;130400;2023-04
TJC/2301/1760;C0333;TC/03/33;577;583;6;92600;2023-04
TJC/2301/1772;C0510;TC/05/10;506;512;6;92600;2023-04
TJC/2301/1761;C0334;TC/03/34;1;1;0;17000;2023-04
TJC/2301/1764;C0502;TC/05/02;82;82;0;17000;2023-04
TJC/2301/1765;C0503;TC/05/03;579;590;11;155600;2023-04
TJC/2301/1766;C0505;TC/05/05;478;481;3;54800;2023-04
TJC/2301/1767;C0506;TC/05/06;671;672;1;29600;2023-04
TJC/2301/1768;C0507;TC/05/07;362;364;2;42200;2023-04
TJC/2301/1770;C0508;TC/05/08;392;392;0;17000;2023-04
TJC/2301/1763;C0501;TC/05/01;90;91;1;29600;2023-04
TJC/2301/1793;C0530;TC/05/30;552;566;14;193400;2023-04
TJC/2301/1794;C0531;TC/05/31;470;478;8;117800;2023-04
TJC/2301/1795;C0532;TC/05/32;29;30;1;29600;2023-04
TJC/2301/1824;C0622;TC/06/22;35;35;0;17000;2023-04
TJC/2301/1825;C0623;TC/06/23;84;86;2;42200;2023-04
TJC/2301/1827;C0624;TC/06/24;588;589;1;29600;2023-04
TJC/2301/1829;C0625;TC/06/25;251;258;7;105200;2023-04
TJC/2301/1830;C0626;TC/06/26;3;3;0;17000;2023-04
TJC/2301/1832;C0627;TC/06/27;131;131;0;17000;2023-04
TJC/2301/1823;C0621;TC/06/21;965;977;12;168200;2023-04
TJC/2301/1833;C0628;TC/06/28;3;3;0;17000;2023-04
TJC/2301/1835;C0630;TC/06/30;33;39;6;92600;2023-04
TJC/2301/1836;C0631;TC/06/31;124;124;0;17000;2023-04
TJC/2301/1837;C0632;TC/06/32;671;676;5;80000;2023-04
TJC/2301/1838;C0633;TC/06/33;7;8;1;29600;2023-04
TJC/2301/1839;C0634;TC/06/34;207;210;3;54800;2023-04
TJC/2301/1840;C0701;TC/07/01;54;58;4;67400;2023-04
TJC/2301/1834;C0629;TC/06/29;218;224;6;92600;2023-04
TJC/2301/1822;C0620;TC/06/20;431;431;0;17000;2023-04
TJC/2301/1821;C0619;TC/06/19;467;472;5;80000;2023-04
TJC/2301/1820;C0618;TC/06/18;697;701;4;67400;2023-04
TJC/2301/1796;C0533;TC/05/33;208;208;0;17000;2023-04
TJC/2301/1797;C0534;TC/05/34;312;317;5;80000;2023-04
TJC/2301/1798;C0601;TC/06/01;889;892;3;54800;2023-04
TJC/2301/1799;C0602;TC/06/02;544;557;13;180800;2023-04
TJC/2301/1801;C0603;TC/06/03;951;955;4;67400;2023-04
TJC/2301/1802;C0605;TC/06/05;38;38;0;17000;2023-04
TJC/2301/1804;C0606;TC/06/06;469;477;8;117800;2023-04
TJC/2301/1806;C0607;TC/06/07;91;94;3;54800;2023-04
TJC/2301/1808;C0608;TC/06/08;460;466;6;92600;2023-04
TJC/2301/1809;C0609;TC/06/09;628;632;4;67400;2023-04
TJC/2301/1814;C0611;TC/06/11;101;103;2;42200;2023-04
TJC/2301/1815;C0612;TC/06/12;180;183;3;54800;2023-04
TJC/2301/1816;C0615;TC/06/15;596;602;6;92600;2023-04
TJC/2301/1817;C0616;TC/06/16;503;506;3;54800;2023-04
TJC/2301/1818;C0617;TC/06/17;175;175;0;17000;2023-04
TJC/2301/1752;C0326;TC/03/26;400;400;0;17000;2023-04
TJC/2301/1750;C0325;TC/03/25;395;398;3;54800;2023-04
TJC/2301/1748;C0324;TC/03/24;89;89;0;17000;2023-04
TJC/2301/1747;C0323;TC/03/23;"1.086,00";"1.090,00";4;67400;2023-04
TJC/2301/1678;C0132;TC/01/32;37;37;0;17000;2023-04
TJC/2301/1679;C0133;TC/01/33;356;365;9;130400;2023-04
TJC/2301/1680;C0134;TC/01/34;430;438;8;117800;2023-04
TJC/2301/1682;C0201;TC/02/01;951;961;10;143000;2023-04
TJC/2301/1683;C0202;TC/02/02;507;508;1;29600;2023-04
TJC/2301/1684;C0203;TC/02/03;1;1;0;17000;2023-04
TJC/2301/1677;C0130;TC/01/30;27;27;0;17000;2023-04
TJC/2301/1686;C0205;TC/02/05;"1.327,00";"1.333,00";6;92600;2023-04
TJC/2301/1689;C0207;TC/02/07;105;105;0;17000;2023-04
TJC/2301/1690;C0208;TC/02/08;796;799;3;54800;2023-04
TJC/2301/1691;C0209;TC/02/09;179;179;0;17000;2023-04
TJC/2301/1692;C0210;TC/02/10;210;210;0;17000;2023-04
TJC/2301/1693;C0211;TC/02/11;328;336;8;117800;2023-04
TJC/2301/1694;C0212;TC/02/12;36;36;0;17000;2023-04
TJC/2301/1687;C0206;TC/02/06;770;779;9;130400;2023-04
TJC/2301/1675;C0129;TC/01/29;"1.180,00";"1.186,00";6;92600;2023-04
TJC/2301/1674;C0128;TC/01/28;290;298;8;117800;2023-04
TJC/2301/1673;C0127;TC/01/27;"1.072,00";"1.085,00";13;180800;2023-04
